"id","ident","type","name","latitude_deg","longitude_deg","continent","iso_country","iso_region","gps_code","iata_code","local_code"
2715,ESUP,medium_airport,Pajala Airport,67.24559783935547,23.06889915466309,EU,SE,SE-BD,ESUP,PJA,
2716,ESUT,medium_airport,Hemavan Airport,65.80609893798828,15.082799911499025,EU,SE,SE-AC,ESUT,HMV,
2717,ETAD,medium_airport,Spangdahlem Air Base,49.9726982117,6.6925001144400005,EU,DE,DE-RP,ETAD,SPM,
2718,ETAR,large_airport,Ramstein Air Base,49.4369010925293,7.600279808044434,EU,DE,DE-RP,ETAR,RMS,
2721,ETHB,medium_airport,Bückeburg Air Base,52.2785,9.08217,EU,DE,DE-NI,ETHB,,
2722,ETHC,medium_airport,Celle Airport,52.59120178222656,10.022100448608398,EU,DE,DE-NI,ETHC,ZCN,
2724,ETHF,medium_airport,Fritzlar Airport,51.1146,9.286,EU,DE,DE-HE,ETHF,FRZ,
2725,ETHL,medium_airport,Laupheim Air Base,48.220299,9.91002,EU,DE,DE-BW,ETHL,,
2726,ETHM,medium_airport,Mendig Airfield,50.366001000000004,7.31533,EU,DE,DE-RP,EDRE,,
2727,ETHN,medium_airport,Niederstetten Army Air Base,49.391945,9.958889,EU,DE,DE-BW,ETHN,,
2728,ETHR,medium_airport,Roth Airport,49.21749877929688,11.100199699401855,EU,DE,DE-BY,ETHR,,
2729,ETHS,medium_airport,Fassberg Air Base,52.919399,10.185827,EU,DE,DE-NI,ETHS,,
2730,ETIC,medium_airport,Grafenwohr Army Air Field,49.69869995117188,11.940199851989744,EU,DE,DE-BY,ETIC,,
2732,ETIH,medium_airport,Hohenfels Army Air Field,49.21810150146485,11.836099624633787,EU,DE,DE-BY,ETIH,,
2734,ETMN,medium_airport,Nordholz Naval Airbase,53.767700195299994,8.658499717709999,EU,DE,DE-NI,ETMN,FCN,
2735,ETND,medium_airport,Diepholz Air Base,52.585556000000004,8.342222,EU,DE,DE-NI,ETND,,
2736,ETNG,medium_airport,Geilenkirchen Air Base,50.9608,6.04242,EU,DE,DE-NW,ETNG,GKE,
2737,ETNH,medium_airport,Hohn Air Base,54.312199,9.53817,EU,DE,DE-SH,ETNH,,
2738,ETNJ,medium_airport,Jever Air Base,53.533501,7.888669999999999,EU,DE,DE-NI,ETNJ,,
2739,ETNL,medium_airport,Rostock-Laage Airport,53.9182014465,12.2783002853,EU,DE,DE-MV,ETNL,RLG,
2740,ETNN,medium_airport,Nörvenich Air Base,50.8312,6.65817,EU,DE,DE-NW,ETNN,,
2741,ETNS,medium_airport,Schleswig Air Base,54.459301,9.51633,EU,DE,DE-SH,ETNS,WBG,
2742,ETNT,medium_airport,Wittmundhafen Airport,53.54779815673828,7.667329788208008,EU,DE,DE-NI,ETNT,,
2744,ETNW,medium_airport,Wunstorf Air Base,52.457298,9.42717,EU,DE,DE-NI,ETNW,,
2747,ETOU,medium_airport,Wiesbaden Army Airfield,50.04980087280274,8.325400352478027,EU,DE,DE-HE,ETOU,WIE,
2749,ETSB,medium_airport,Büchel Air Base,50.1738014221,7.06333017349,EU,DE,DE-RP,ETSB,,
2752,ETSH,medium_airport,Holzdorf Air Base,51.767799,13.1677,EU,DE,DE-BR,ETSH,,
2753,ETSI,medium_airport,Ingolstadt Manching Airport,48.7156982421875,11.534000396728516,EU,DE,DE-BY,ETSI,IGS,
2754,ETSL,medium_airport,Lechfeld Air Base,48.185503999999995,10.8612,EU,DE,DE-BY,ETSL,,
2755,ETSN,medium_airport,Neuburg AFB,48.710999,11.2115,EU,DE,DE-BY,ETSN,,
44006,EVDA,medium_airport,Daugavpils Intrenational Airport,55.9447212219,26.665000915500002,EU,LV,LV-DA,EVDA,DGP,
31029,EVKA,medium_airport,Jēkabpils Air Base,56.534698,25.8925,EU,LV,LV-JK,EVKA,,
2757,EVLA,medium_airport,Liepāja International Airport,56.51750183105469,21.096900939941406,EU,LV,LV-LE,EVLA,LPX,
2758,EVRA,large_airport,Riga International Airport,56.92359924316406,23.971099853515625,EU,LV,LV-RIX,EVRA,RIX,
31031,EVTA,medium_airport,Jūrmala Airport,56.9422,23.2239,EU,LV,LV-TU,EVJA,,
2759,EVVA,medium_airport,Ventspils International Airport,57.35779953,21.5442008972,EU,LV,LV-VEN,EVVA,VNT,
2760,EYKA,medium_airport,Kaunas International Airport,54.96390151977539,24.084800720214844,EU,LT,LT-KU,EYKA,KUN,
30020,EYKD,medium_airport,Kėdainiai Air Base,55.31169891357422,23.95639991760254,EU,LT,LT-KU,EYKD,,
2762,EYPA,medium_airport,Palanga International Airport,55.97320175170898,21.093900680541992,EU,LT,LT-KL,EYPA,PLQ,
2763,EYPP,medium_airport,Panevėžys Air Base,55.72940063476562,24.46080017089844,EU,LT,LT-PN,EYPP,PNV,
2764,EYSA,medium_airport,Šiauliai International Airport,55.89390182495117,23.395000457763672,EU,LT,LT-SA,EYSA,SQQ,
2765,EYSB,medium_airport,Barysiai Airfield,56.070599,23.5581,EU,LT,LT-SA,EYSB,,
2766,EYVI,large_airport,Vilnius International Airport,54.634102,25.285801,EU,LT,LT-VL,EYVI,VNO,
2767,FAAB,medium_airport,Alexander Bay Airport,-28.575001,16.5333,AF,ZA,ZA-NC,FAAB,ALJ,
2768,FAAG,medium_airport,Aggeneys Airport,-29.28179931640625,18.813899993896484,AF,ZA,ZA-NC,FAAG,AGZ,
2771,FABE,medium_airport,Bisho Airport,-32.897098541300004,27.2791004181,AF,ZA,ZA-EC,FABE,BIY,
2772,FABL,medium_airport,Bram Fischer International Airport,-29.092699050900002,26.302400589,AF,ZA,ZA-FS,FABL,BFN,
46533,FABR,medium_airport,Barberton Airport,-25.716869,30.975179999999998,AF,ZA,ZA-MP,FABR,,ABR
2775,FACT,large_airport,Cape Town International Airport,-33.9648017883,18.6016998291,AF,ZA,ZA-WC,FACT,CPT,
2779,FAEL,medium_airport,Ben Schoeman Airport,-33.0355987549,27.825899124099998,AF,ZA,ZA-EC,FAEL,ELS,
2780,FAEO,medium_airport,Ermelo Airport,-26.4955997467041,29.979799270629886,AF,ZA,ZA-MP,FAEO,,
2781,FAFB,medium_airport,Ficksburg Sentraoes Airport,-28.82309913635254,27.908899307250977,AF,ZA,ZA-FS,FAFB,FCB,
2782,FAGC,medium_airport,Grand Central Airport,-25.986299514799995,28.1401004791,AF,ZA,ZA-GT,FAGC,GCJ,
2783,FAGG,large_airport,George Airport,-34.0056,22.378902,AF,ZA,ZA-WC,FAGG,GRJ,
2784,FAGM,medium_airport,Rand Airport,-26.2425003052,28.151199340799998,AF,ZA,ZA-GT,FAGM,QRA,
2789,FAHR,medium_airport,Harrismith Airport,-28.23509979248047,29.10619926452637,AF,ZA,ZA-FS,FAHR,HRS,
2792,FAJS,large_airport,OR Tambo International Airport,-26.1392,28.246,AF,ZA,ZA-GT,FAOR,JNB,
2793,FAKD,medium_airport,P C Pelser Airport,-26.8710994720459,26.718000411987305,AF,ZA,ZA-NW,FAKD,KXE,
2794,FAKM,medium_airport,Kimberley Airport,-28.802799224900003,24.765199661300002,AF,ZA,ZA-NC,FAKM,KIM,
2795,FAKN,medium_airport,Kruger Mpumalanga International Airport,-25.383199691799998,31.105600357100002,AF,ZA,ZA-MP,FAKN,MQP,
2798,FAKU,medium_airport,Johan Pienaar Airport,-27.45669937133789,23.411399841308594,AF,ZA,ZA-NC,FAKU,KMH,
2799,FAKZ,medium_airport,Kleinsee Airport,-29.688400268600002,17.093999862700002,AF,ZA,ZA-NC,FAKZ,KLZ,
2800,FALA,medium_airport,Lanseria Airport,-25.9384994507,27.926099777199997,AF,ZA,ZA-GT,FALA,HLA,
2801,FALC,medium_airport,Lime Acres Finsch Mine Airport,-28.36009979248047,23.43910026550293,AF,ZA,ZA-NC,FALC,LMR,
300795,FALE,large_airport,King Shaka International Airport,-29.6144444444,31.119722222199997,AF,ZA,ZA-NL,FALE,DUR,
2805,FALW,medium_airport,Langebaanweg Airport,-32.9688987732,18.1602993011,AF,ZA,ZA-WC,FALW,SDB,
2806,FALY,medium_airport,Ladysmith Airport,-28.5816993713,29.7497005463,AF,ZA,ZA-NL,FALY,LAY,
2808,FAMD,medium_airport,Malamala Airport,-24.818099975585934,31.54459953308105,AF,ZA,ZA-NP,FAMD,AAM,
2809,FAMG,medium_airport,Margate Airport,-30.8574008942,30.343000412,AF,ZA,ZA-NL,FAMG,MGH,
2812,FAMM,medium_airport,Mmabatho International Airport,-25.798400878900004,25.548000335700003,AF,ZA,ZA-NW,FAMM,MBD,
2813,FAMN,medium_airport,Riverside Airport,-25.4300003052,31.5767002106,AF,ZA,ZA-MP,FAMN,LLE,
2814,FAMS,medium_airport,Morningside Farm Airport,-25.7045001984,26.9090003967,AF,ZA,ZA-NW,FAMS,,
2815,FAMU,medium_airport,Mkuze Airport,-27.62610054016113,32.044300079345696,AF,ZA,ZA-NL,FAMU,MZQ,
2816,FANC,medium_airport,Newcastle Airport,-27.7705993652,29.9769001007,AF,ZA,ZA-NL,FANC,NCS,
2819,FAOH,medium_airport,Oudtshoorn Airport,-33.6069984436,22.188999176,AF,ZA,ZA-WC,FAOH,OUH,FAOH
31055,FAOR,large_airport,OR Tambo International Airport,-26.1392,28.246,AF,ZA,ZA-GT,FAOR,JNB,
2820,FAPE,medium_airport,Port Elizabeth Airport,-33.984901428200004,25.617300033600003,AF,ZA,ZA-EC,FAPE,PLZ,
2821,FAPG,medium_airport,Plettenberg Bay Airport,-34.0881601675,23.3287234306,AF,ZA,ZA-WC,FAPG,PBZ,
2822,FAPH,medium_airport,Hendrik Van Eck Airport,-23.9372005463,31.1553993225,AF,ZA,ZA-NP,FAPH,PHW,
2823,FAPI,medium_airport,Pietersburg Municipal Airport,-23.926099777199997,29.484399795500003,AF,ZA,ZA-NP,FAPI,,
2824,FAPJ,medium_airport,Port St Johns Airport,-31.605899810791016,29.51980018615723,AF,ZA,ZA-EC,FAPJ,JOH,
2825,FAPM,medium_airport,Pietermaritzburg Airport,-29.6490001678,30.3987007141,AF,ZA,ZA-NL,FAPM,PZB,
2827,FAPP,medium_airport,Polokwane International Airport,-23.845269000000002,29.458615,AF,ZA,ZA-NP,FAPP,PTG,
2828,FAPS,medium_airport,Potchefstroom Airport,-26.670999527,27.081899642899998,AF,ZA,ZA-NW,FAPS,PCF,
2830,FAQT,medium_airport,Queenstown Airport,-31.92020034790039,26.88220024108887,AF,ZA,ZA-EC,FAQT,UTW,
2831,FARB,medium_airport,Richards Bay Airport,-28.740999221800003,32.0920982361,AF,ZA,ZA-NL,FARB,RCB,
2832,FARG,medium_airport,Rustenburg Airport,-25.6443004608,27.2710990906,AF,ZA,ZA-NW,FARG,,
